url_length,num_dots,num_hyphens,num_digits,num_special_chars,has_https,has_ip,brand_similarity,NoOfExternalRef,LineOfCode,HasSocialNet,IsResponsive,NoOfiFrame,label
20,1,0,0,0,1,0,0.375,0,275,0,0,0,1
15,1,0,0,0,1,0,0.25,13,1164,1,1,0,1
24,1,0,0,0,1,0,0.3333333333333333,10,5934,1,1,0,1
18,1,0,0,0,1,0,0.6,8,1367,1,1,0,1
17,1,0,0,0,1,0,0.5,0,26,0,1,0,1
22,1,0,0,0,1,0,0.4444444444444444,0,1792,1,1,1,1
17,1,0,0,0,1,0,0.3076923076923077,0,193,0,1,0,1
15,1,0,0,0,1,0,0.4,0,1365,1,1,0,1
17,1,0,0,0,1,0,0.46153846153846156,26,415,1,1,0,1
26,1,0,0,0,1,0,0.34782608695652173,14,791,1,1,0,1
19,1,0,0,0,1,0,0.3333333333333333,9,259,0,1,0,1
17,1,0,0,0,1,0,0.46153846153846156,2,969,1,1,1,1
23,1,0,0,0,1,0,0.3333333333333333,11,733,1,1,0,1
17,1,0,0,0,1,0,1.0,2,33,0,0,0,1
20,1,0,0,0,1,0,0.47058823529411764,14,5416,1,1,1,1
18,1,0,0,0,1,0,0.5714285714285714,168,6989,1,1,1,1
19,1,0,0,0,1,0,1.0,2,13,1,1,0,1
20,1,0,0,0,1,0,0.46153846153846156,13,517,1,1,1,1
18,1,0,0,0,1,0,0.42857142857142855,13,17014,1,1,0,1
19,1,0,0,0,1,0,0.4,27,2189,1,1,1,1
18,1,1,0,0,1,0,0.5,0,30,0,1,0,1
17,1,0,0,0,1,0,0.6,25,357,1,1,0,1
18,1,0,0,0,1,0,0.3333333333333333,4,301,1,1,0,1
19,1,0,0,0,1,0,0.3333333333333333,12,414,1,1,0,1
20,1,0,0,0,1,0,0.5333333333333333,9,10116,1,1,0,1
21,1,0,0,0,1,0,0.375,31,1046,0,1,0,1
22,1,1,0,0,1,0,0.4444444444444444,4,85,0,1,0,1
23,1,0,0,0,1,0,0.7058823529411765,2,23,0,1,0,1
19,1,1,0,0,1,0,0.5333333333333333,100,4176,1,1,0,1
16,1,0,0,0,1,0,0.5,2,183,0,1,0,1
16,1,0,0,0,1,0,0.5,5,1952,1,1,2,1
18,1,0,0,0,1,0,0.46153846153846156,1,7,0,1,0,1
15,1,0,3,0,1,0,0.0,33,3857,0,1,2,1
21,1,0,0,0,1,0,0.3333333333333333,0,56,0,1,0,1
22,1,0,0,0,1,0,0.375,5,59,0,1,0,1
17,1,0,0,0,1,0,0.36363636363636365,43,736,1,1,0,1
20,1,0,0,0,1,0,0.5,23,103,0,1,0,1
23,1,0,0,0,1,0,0.5,126,1162,1,1,1,1
23,1,0,0,0,1,0,0.47058823529411764,0,180,0,1,0,1
15,1,0,0,0,1,0,0.6666666666666666,2,453,0,1,1,1
17,1,0,0,0,1,0,0.36363636363636365,48,589,0,1,1,1
16,1,0,0,0,1,0,0.42857142857142855,0,44,1,1,0,1
23,1,0,0,0,1,0,0.7058823529411765,50,2269,0,1,0,1
17,1,0,0,0,1,0,0.5,21,1959,1,1,0,1
16,1,0,0,0,1,0,0.3333333333333333,0,231,1,1,0,1
26,1,0,0,0,1,0,0.4,37,659,0,1,0,1
18,1,0,0,0,1,0,0.42857142857142855,4,641,0,1,0,1
26,1,0,0,0,1,0,0.45454545454545453,1,210,0,1,1,1
16,1,0,0,0,1,0,0.3333333333333333,20,1199,1,1,0,1
27,1,0,0,0,1,0,0.43478260869565216,22,7597,1,1,3,1
20,1,0,0,0,1,0,0.5,3,497,0,1,0,1
14,1,0,0,0,1,0,0.2857142857142857,171,3713,1,1,0,1
17,1,0,0,0,1,0,0.5,6,2767,1,1,0,1
21,1,0,0,0,1,0,0.5333333333333333,8,1201,1,0,0,1
17,1,0,0,0,1,0,0.3076923076923077,17,19,1,1,0,1
16,1,0,0,0,1,0,0.3076923076923077,7,26,0,1,0,1
28,1,0,0,0,1,0,0.36363636363636365,6,4343,1,1,0,1
19,2,0,0,0,1,0,0.46153846153846156,16,58,0,1,1,1
14,1,0,0,0,1,0,0.5,80,382,1,1,0,1
19,1,0,0,0,1,0,0.5333333333333333,1,3609,1,1,0,1
19,2,0,0,0,1,0,0.5454545454545454,152,5790,0,0,0,1
21,1,0,0,0,1,0,0.2857142857142857,19,172,1,1,1,1
16,1,0,0,0,1,0,0.5,12,79,1,1,0,1
21,1,0,0,0,1,0,0.26666666666666666,140,5553,1,1,0,1
20,1,0,0,0,1,0,0.5882352941176471,16,3414,1,1,0,1
